gene_name,TF_Activity,TF_pvalue,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ABL1,-0.9217888712882996,0.35665317905449356,3572.0486,-0.17643828882364962,0.10653372757221177,-1.6561730528395755,0.09768677867852822,0.2562257035702123
AHR,-2.3603248596191406,0.018271355043454254,2046.1261,-0.5288241350141538,0.2865043485527673,-1.8457804835613412,0.06492408548038588,0.19361357247138158
AHRR,-0.59601891040802,0.5511713689072657,231.30196,-0.19006855235828873,0.45895039608818966,-0.41413746230162546,0.6787734384379278,0.8316557000961396
APEX1,-0.13049088418483734,0.8961797732369327,2973.0513,0.039029711065790895,0.11792574137475006,0.3309685452115193,0.7406682451026743,0.8690313914095296
AR,0.5716158747673035,0.5675905954125074,79.2191,-0.23591015397608509,0.21966476832215048,-1.0739553537784896,0.2828426921938476,0.5140861559583849
ARID1A,-0.09267277270555496,0.9261647357252769,3262.8809,0.23558238797240252,0.26764719173617124,0.8801974959805442,0.37875232975933526,0.6084815096029116
ARID3A,-0.6414939761161804,0.5212113573204145,3656.9524,0.06585990503752179,0.1380239849913631,0.47716275574598865,0.633246229964018,0.8035369742824396
ARID3B,-0.13137957453727722,0.8954767649725361,1671.9244,0.33514429091572084,0.0715784719064561,4.682193989188698,2.8382069394099797e-06,3.7516556560231825e-05
ARID4A,-0.19358661770820618,0.8465021350945127,357.14746,-0.11022387205327895,0.12167346671502309,-0.9058990018870693,0.3649893126819308,0.5958985454396052
ARID4B,-0.937221884727478,0.3486591579835774,1450.4338,0.31650178315685534,0.12383504898687447,2.5558336330968947,0.010593375340841232,0.047715194583871155
ARID5B,-2.240450859069824,0.025075893005661792,350.13617,-1.0170932838587614,0.243327785368815,-4.179930714929001,2.9159792571557023e-05,0.0003145649271822122
ARNT,-0.23364461958408356,0.8152639959026566,872.09015,0.006143219326830986,0.09453231287997459,0.0649853911289665,0.9481856318567065,0.9756262774726489
ARX,0.7626343965530396,0.44569316652046187,1251.1315,0.04349778309085819,0.13598435947861268,0.3198734270443759,0.7490642825242124,0.8744297376600135
ASCL1,-2.827205181121826,0.004701688291247534,549.89874,-1.4183360622684562,0.2510841722155385,-5.6488469573897,1.6152757389859584e-08,3.224887524081966e-07
ASCL2,-3.329817056655884,0.0008710748657053976,2591.4802,0.4646854021753174,0.19538503100099078,2.378306054433418,0.01739238355653397,0.0706588563463522
ATF1,-0.47880879044532776,0.6320814724064935,433.65518,0.20733085901502532,0.100027985800402,2.0727285204836354,0.03819755194885452,0.13130835557015666
ATF2,-2.257310628890991,0.02400264473305937,1846.9989,0.10777484259231275,0.14219982337453893,0.75791122685466,0.4485041288199222,0.667976552252341
ATF3,0.8984614014625549,0.3689536857837259,197.56166,-1.3262064792205337,0.3589884758227496,-3.6942870552628757,0.0002205045922117461,0.0018697281280039561
ATF4,-2.368391990661621,0.017877891300107893,3645.802,-0.4952098332047228,0.185200457252488,-2.6739125839716045,0.0074971991265982115,0.036382144339474974
ATF5,-0.7231982350349426,0.4695691058970298,989.8495,-0.33882098983023756,0.16785246662895684,-2.018564258452109,0.04353252903321726,0.14450994792218722
ATF6,-1.9047282934188843,0.0568340434868029,1838.4307,0.27888115309762784,0.12615620066651162,2.210602028471339,0.027063408171630075,0.09974724857887056
BACH1,-2.6051807403564453,0.009191424534446267,984.37415,-0.10355998112490655,0.12247796965693311,-0.8455396624795725,0.39780959762228185,0.6243263151937045
BCL11A,-1.1360667943954468,0.2559463206922399,70.02641,0.07467670262813175,0.2014115310013313,0.3707667691957426,0.7108112543394631,0.8508594676801583
BCL3,1.1415765285491943,0.25364786624371427,148.51765,-0.07536094305534063,0.2246223724805053,-0.3355006103048846,0.7372474844110839,0.8678854607264131
BCL6,-1.372475266456604,0.1699355564189172,174.92079,-0.3317732256730867,0.2519462106376485,-1.3168414989588642,0.18789175923541035,0.39643974948201527
BCLAF1,-1.1150929927825928,0.2648280052799038,3287.1042,0.08130735681653778,0.07032582828587709,1.1561521392399443,0.24761893248346145,0.4732279772586092
BHLHA15,-1.5557656288146973,0.11978441925114632,78.04179,-0.34976159206049523,0.7664782872655945,-0.4563228963840151,0.6481578015688392,0.8133983578381848
BHLHE40,-0.9621267914772034,0.3360010505360179,205.15318,-0.5159382002052236,0.2570142558276016,-2.007430282588299,0.0447038670842069,0.14719052231430985
BRCA1,0.7733396887779236,0.4393332638632327,131.03288,-0.3333261655651023,0.2032879649838538,-1.639674860199308,0.10107278875400687,0.2621867429703574
